raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,case_id,data_index,data_dir,raw_file_count,selected_steps,frame_time_start,frame_time_end,raw_node_count,raw_u_min,raw_u_max,raw_v_min,raw_v_max,raw_w_min,raw_w_max,raw_total_bytes_selected,repaired_frame_count,repaired_frame_times,available_unique_frame_count,frame_selection_mode,ignored_downloading_count,discarded_duplicate_count,ignored_bad_name_count,original_case_id,original_data_index,quality_action,quality_reason,position_key
"0,-150,0,50mlmin",0,-150,0,50,case_0004,0,"F:\氢泄露\0,-150,0,50mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,case_0004,4,kept,,"0,-150,0"
"0,-150,0,100mlmin",0,-150,0,100,case_0001,1,"F:\氢泄露\0,-150,0,100mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,case_0001,1,kept,,"0,-150,0"
"0,-150,0,400mlmin",0,-150,0,400,case_0003,2,"F:\氢泄露\0,-150,0,400mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,case_0003,3,kept,,"0,-150,0"
"6,0,0,0,200",0,0,0,200,case_0039,3,"E:\氢泄漏\6,0,0,0,200",240,120,1.0,120.0,5285674,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,50742480000,0,,240,integer_aligned,0,0,0,case_0039,25,kept,,"0,0,0"
"6,0,0,0,1000",0,0,0,1000,case_0044,4,"E:\氢泄漏\6,0,0,0,1000",126,120,1.0,120.0,5285674,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,50742480000,0,,126,integer_aligned,0,0,0,case_0044,30,kept,,"0,0,0"
"6,0,100,0,50",100,0,0,50,case_0046,5,"F:\AI反演_CFD计算\6,0,100,0,50\6,0,100,0,50",242,120,1.0,120.0,198565,-0.5,0.5,-0.4000000059604645,0.4000000059604645,-0.4000000059604645,0.4000000059604645,1906233600,0,,240,integer_aligned,0,0,2,case_0046,32,kept,,"100,0,0"
"100,0,0,800mlmin",100,0,0,800,case_0009,6,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,800mlmin",120,120,1.0,120.0,4988820,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,47892681600,0,,,,,,,case_0009,9,kept,,"100,0,0"
"6,200,-300,50",200,-300,0,50,case_0020,7,"F:\氢泄露\6,200,-300,50\all",240,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,,240,integer_aligned,0,0,0,case_0020,20,kept,,"200,-300,0"
"6,200,-300,100",200,-300,0,100,case_0016,8,"F:\氢泄露\6,200,-300,100\all",240,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,4,18;26;28;29,240,integer_aligned,0,0,0,case_0016,16,kept,,"200,-300,0"
"200,-150,0,50mlmin",200,-150,0,50,case_0012,9,"F:\氢泄露\200,-150,0,50mlmin\all",240,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,case_0012,12,kept,,"200,-150,0"
"200,-150,0,800mlmin",200,-150,0,800,case_0014,10,"F:\氢泄露\200,-150,0,800mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,case_0014,14,kept,,"200,-150,0"
"200,-150,0,1000mlmin",200,-150,0,1000,case_0010,11,"F:\氢泄露\200,-150,0,1000mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,case_0010,10,kept,,"200,-150,0"
